epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,lr
1,0.83472971536301,0.5732600732600732,0.5567612986270022,0.7887480187619853,0.7094017094017094,0.6292169041529655,0.0001
2,0.550112498548878,0.7490842490842491,0.7353204631812654,0.5785372040083265,0.7777777777777778,0.7489317863234873,0.0001
3,0.44367117628509745,0.7765567765567766,0.7699956735863379,0.49693709522740453,0.8461538461538461,0.8277536287145072,0.0001
4,0.3581027940952734,0.8461538461538461,0.8396246263934053,0.5537551252219157,0.717948717948718,0.7065767622401408,0.0001
5,0.28530843812467416,0.8827838827838828,0.8748377836423796,0.38534928399782914,0.8547008547008547,0.8462624981926975,0.0001
6,0.2824161371468624,0.8754578754578755,0.8639552959255719,0.40972368454194474,0.8376068376068376,0.8367376756962099,0.0001
7,0.2955495325418619,0.8553113553113553,0.8460602894153535,0.7400165460048578,0.8290598290598291,0.7651741293532339,0.0001
8,0.27907562463274804,0.891941391941392,0.881694842285723,0.38993840320752216,0.8888888888888888,0.8825428830250431,0.0001
9,0.2546135295223404,0.8992673992673993,0.891773093268731,0.6159048785065484,0.8205128205128205,0.7825023461387097,0.0001
10,0.20856096620088097,0.924908424908425,0.9170480127821651,0.3685959595390874,0.8376068376068376,0.824281179138322,0.0001
11,0.18724180807124127,0.9212454212454212,0.9173443840110508,0.3979870304146893,0.8974358974358975,0.8810942082111438,5e-05
